text,label
"- arrggh kids that won't settle....need some Kava for Liam, that'll sort 'em...",fear and worry
"- blood and mucus and he chokes and has to swallow, mirth cut too short. 'Wrong answer.' It takes some awkward movements - @PersuasiveFuck",joy and happiness
- Gig was awesome! Am exahausted and so dont want to revise  Boo Hoo!,joy and happiness
- God i'm up early. Hayley still asleep but today is party day so i'm getting stuff ready.  x,joy and happiness
- had a great time at the 'block party' - so did mackenzie,fear and worry
"-- haired man strides close and watches as the Major flinches away from him, the reaction draws a growl from his throat.  -- (@DocHQuinzel)",anger
 I can't guess if you holding a grudge against the best',anger
"-- I won't feel guilty and like I should be revising stuff after today, haha",fear and worry
- im hungry...but there's no food at mah house.,fear and worry
- It's time for Kathleen to go to bed... waaaaay past time. Don't expect to hear from me before noon. lol  Have a BLESSED morning.,joy and happiness
 Look for #contrasts....#behaviour may be a #camouflage....garments a #shell....a #bully may be a #baby inside.....' - Prof Caroline Taylor,fear and worry
- me and my mom's cars were broken into.  I feel violated.,sadness
- thats my hair guys. oh dip i gotta go!  on-ee two minits leff . . .,fear and worry
- the joyous occasion of laughing at the ostentatious display of disrespect. Bruce just scoffed at the entire scene. This wasn't Batman’s -,joy and happiness
"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco",sadness
"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco",anger
"# ISIS REFERENCES SCRUBBED?  Federal complaint against suspect in NYC, NJ bombings appears to omit terror names in bloody journ...  #news",fear and worry
#2 complained then while his head and then called do not despair of God's mercy if you did sins go back to him and ask his forgiveness,fear and worry
#2 complained then while his head and then called do not despair of God's mercy if you did sins go back to him and ask his forgiveness,sadness
"#3wordsaftersex  Ow, rug burns",fear and worry
#3wordsaftersex i think im bleeding.,fear and worry
#3wordsaftersex it hurts now,sadness
#ADHD &amp; #anxiety are #IRRELEVANT\nAnyone will be #EVICTED if a significant amount of rent HAS NOT BEEN PAID \n#mentalhealth aside\n#CantPay,fear and worry
#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!,anger
#Afghanistan Vice President Sarwar Danish slams #Pakistan for breeding #terrorism during UNGA address\n@UN #USA,fear and worry
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the ,fear and worry
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the #fear,fear and worry
#Ajax #php! Just thinking about a concept of autorefresh! @varun_chander made a mistake here,fear and worry
#Aleppo city is burning. The head of #terrorism #Assad regime &amp; #Russia are bombarding the city right now with #whitephosphrus #bombs !,fear and worry
#aliens #zombie #gore #slash #ghost #sith #horror I love it all. 🔪,fear and worry
#Always #borrow #money from a #pessimist. He won't #expect it #back.,sadness
"#America finding #gratitude amidst the sadness and frustration about race, #fear, anger and #racism, i remain hopeful _ i'm an earth fixer'",fear and worry
#amwriting #horror in the dark and a loud creaking door noise is coming from the kitchen. There are no doors there to creak. WTF.,fear and worry
#Anger or #wrath is an intense emotional response.,anger
#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria  #race #riots #GasCrisis2016 #NoDAPL #rape,fear and worry
#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #terrorism #race #riots #GasCrisis2016 #NoDAPL #rape,fear and worry
#Appreciate what you have &amp; enjoy your life. \nUse your #smile 😃 to help others use theirs. ☺️,joy and happiness
#ArchangelSummit @sethgodin  Anyone can be brave but you just have to last 5 mins longer than everyone else. #leadership ,fear and worry
#ArchangelSummit @sethgodin  Anyone can be brave but you just have to last 5 mins longer than everyone else. #leadership #fear,fear and worry
"#Arts create richness &amp; liveliness in our society, continues through educational &amp; social benefits, and only ends with the economic",joy and happiness
"#AskAMan but this does not sound like a #serious issue, cause siyahleka the whole time, just having fun",sadness
#asylm yay registered but lost all my friends,sadness
"#AutumnalEquinox the nights are drawing in, what a great time to look at putting up some new #lights #dark #showroom #news #wirral",sadness
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,anger
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear and worry
#Azerbaijan #Baku Azerbaijan to prevent another Armenian provocation in Russia,anger
#BB18 Michelle crying  again #shocking #bitter He's  just not that into you 😢#TeamNicole,fear and worry
#BB18 Michelle crying  again #shocking #bitter He's  just not that into you 😢#TeamNicole,anger
#bcwinechat what's the most common method used to make BC  #wine?,joy and happiness
#bcwinechat what's the most common method used to make BC #sparkling #wine?,joy and happiness
#beer #friday #melbourne #cbd #mtub #mini #cmon Thirsty and lonely ... you buggers are making me feel like a scotty no mates,fear and worry
"#Beijing Good massage for you &amp; Sexy girl &amp; 100% real photo  13341015518 - w4 (Beijing): Hi, .. http://tinyurl.com/c48m6r",joy and happiness
"#bestadvice from a #movienight, pickup the #phone &amp; #start dialing, no1 will knw a #startups #product #service if thy dnt tell the #world",fear and worry
#beyond naming &amp; shaming ; lies a vast space b/w #sanctions &amp; #terror state...v *wait til Others #impose it...&amp; do not hv COURAGE #ourselves,fear and worry
#BGT  ooooh tooo weird for me,fear and worry
"#bgt Aw bless her, my stomach sank when she first whimpered but good on her for trying to carry on. That's nice of Simon to take charge.",joy and happiness
#bgt It's a shame that the Dreambears won't get through,fear and worry
"#BGT Quite an awkward moment, poor girl  I hope she doesn't loose it again.",fear and worry
#BGT That poor kid,fear and worry
#bgt Will Holly take being paraded on stage again for potential rejection?,fear and worry
"#bigfanfriday 2day, &amp; i go &amp; friggin loose 1, life sucks!!",sadness
#blackish always has me #rollin ,joy and happiness
#blackish always has me #rollin #hilarious,joy and happiness
"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark",joy and happiness
"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love #hilarious #TeamMark",joy and happiness
#brigetjonesbabys #brigetjonesbaby was the best film! #hilarious - so good - so funny!! 🙌,joy and happiness
"#BSNL, Stupid net went down.. Been without email for a whole day",fear and worry
#burning the last of @Yan,anger
"#CharlotteRiots #passion? or #anger act of violence.\nIf mourning for those who have past away, #stayhome  #whyout",anger
"#Charlotte's #young &amp; #restless; I applaud ur fire bt always b respectful of authority, police, elders, parents. Violence, not the way 🙏🏽✌🏽️",fear and worry
#chirp look out for them Cars coming from the Wesszzz,joy and happiness
"#COINCIDENCE??? When you turn on the TV, etc.&amp; listen &amp; watch, the objective is to #CaptureYourMind with #fear &amp; #depression. #FindGODNow!!!",fear and worry
"#COINCIDENCE??? When you turn on the TV, etc.&amp; listen &amp; watch, the objective is to #CaptureYourMind with #fear &amp; #depression. #FindGODNow!!!",sadness
#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy ,joy and happiness
#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy #delight,joy and happiness
#Debates2016 #AskTrumponeQuestion why do you #bully and # insult #people so much more than any other candidate in history? Not leadership,fear and worry
#DepecheMode concert next week cancelled  Alternative date not known yet. Dave Gahan had a tumor.,sadness
"#Depression has you wanting to change the past, #anxiety has you focusing on the unknown future. Neither are about living in the present.",fear and worry
"#Determine to #start putting the Word in your #heart #consistently. Every day a #line here, a line there--a tape here, a #tape there 💨",fear and worry
#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown,anger
#DonKing lion of #black community speaks truth to power of @POTUS insult 'black vote is given away cavalierly...playing by (@TheDemocrats)',anger
#Drunk people annoy me when I'm #sober lol. | #fact #TeamFollowBack #RockTheReTweet,sadness
#EFT is the single most effective tool I've learned in 40 years of being a therapist-Dr. Curtis A. Steele (psychiatrist) #stress ,fear and worry
#EFT is the single most effective tool I've learned in 40 years of being a therapist-Dr. Curtis A. Steele (psychiatrist) #stress #anxiety,fear and worry
"#EpiPen: when public outrage occurs, expand #PAP Patient Assistance Progrm, coupons,rebates .@GOPoversight @OversightDems on #Mylan #Epipen",anger
#Everything you've ever wanted awaits you on the other side of #fear . #IfIWasTheOppositeSex #AskAMan,fear and worry
#f1 soon  good luck brawn and mclaren fix up look sharp :p,joy and happiness
"#Facebook is #depressing without even being there. Two apps want it for logging in, I have missed at least two interesting #events and they",sadness
"#Ferber As happens every few days, Rohan woke up unhappy at midnight.  The good/bad news is that I was still awake, due to afternoon nap",fear and worry
#FF @AriesChild she is my Vegas buddy &amp; A Laker lover uuugh but I love her even though I'm all the way n Chicago,joy and happiness
"#FF @ElizaNealsRocks Love &amp; support, always!! Eliza Neals ROCKS!! #blues #music #friends 😎🎸",sadness
#FF @ManihaAamir @adrence Keep on #smiling … !,joy and happiness
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX,sadness
#ff sports: @BaseballFanNat @BKCyclones @blind_baseball @ESPNBaseball sorry for not getting around to everyone my phone is acting up,fear and worry
#fieldnotes I ordered some on the 8th and they still haven't arrived. 3 weeks and still no books,sadness
#firefly weekend on SciFi channel  I'm a happy man,joy and happiness
#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily ,anger
#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily #rage,anger
#flylady Oh deary me: 15 mins not enough to rescue kitchen  I shall come back to it later so I can mow the lawn while still cool outside,fear and worry
"#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. ",joy and happiness
"#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. #optimism",joy and happiness
#followfriday @RoRuby although she doesnt consider me a sweetheart to,fear and worry
#FollowFriday In honor of my web buddies who moved.  @warpdesign @cianan @BigToach @mikedelgado,joy and happiness
#food  #деньги #smile   microsoft_.net_framework_4.5.1_full_plus_by_gora,joy and happiness
"#Forgiveness might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and #revenge.",anger
"#Forgiveness might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and .",anger
#freakyfriday Slipped in the shower and fell. Lucky to escape with just a couple of concussions!,sadness
"#freeagentapp free trial ran out today, cannot subscribe because Abby accidentally canceled my card - still waiting for a new one",sadness
#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic ,fear and worry
#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible,fear and worry
#GBBO can cheer me up ☺️,joy and happiness
"#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. 👋 ",anger
"#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. 👋 #fuming",anger
#GetSmartWithARQ is a smart way to start investing and #whiteicenetwork is smart source 2 #start #skilled #manpower #recruitment for ur firm,fear and worry
#goksfillyourhouseforfree should be retitled fill your house with old trash repainted ...  #junk #trash,fear and worry
#goksfillyourhouseforfree should be retitled fill your house with old trash repainted ... #shocking #junk #trash,fear and worry
"#GoodAfternoon! ^^ Doesn't matter whn you #start something, as long as you start it #today. 'Age' only exists in the mind. You are #Timeless",fear and worry
#Gratitude - recovery health love God conscious drive hope perseverance wealthy home kids SoCal #recoveryfit youthful #sober,sadness
#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,sadness
"#happiness #recipe: an open mind, #laughter, a kind #heart &amp; ",joy and happiness
"#happiness #recipe: an open mind, #laughter, a kind #heart &amp; #optimism",joy and happiness
#Happy Mother's Day euch allen,fear and worry
#Happy Stars Wars day....Me's a JA-JA BINKS ha  A crappy day outside though ah well makes me have a bit more motivation to revise,joy and happiness
#HappyMothersDay to all the moms out there,joy and happiness
#hate going to the doctor on so many levels but least I can go sleep with a #smile just watched #Dwight on live nation,joy and happiness
"#heavyheart these last couple of days, who are the cause of this  #fear of losing someone close ? #amerikkka #kkkops #TerenceCrutcher",fear and worry
#hillaryclinton and their followers are #nervous of a #BernieSanders #millennials saying yes to a #woman #POTUS  #JillStein  not #warmonger,fear and worry
#hollyoaks .... The curse of justin strikes again.... Date the burton and end up screwed  poor sod,sadness
#HRmanagement must discourage the expediency factor from encroaching on the rolling out of a credible #workplaceviolenceprevention policy.,sadness
#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget,anger
"#IfIWerePresident \nMy goal would be for us all to be miserable, yet jovial in the Co. of others. U know, civil but with realization of self.",joy and happiness
#ilofitt is #laughter #happiness #spiritual #mental #physical #pizza. Just kidding about the pizza. Work hard in all facets for a fitlife!,joy and happiness
#India is sponsoring terrorism in #Balochistan. #KulbhushanYadav an Indian spy agent was arrested in Balochistan by Pakistani forces.,fear and worry
#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of ,fear and worry
#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism,fear and worry
#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge,anger
#IndiaMissingIndira that she could never solve Kashmir Problem and kept it burning for Vote Bank\n#TerrorStatePak,anger
#internationaldayofpeace : When white supremacists terrorize everyone of differing cultures online and will continue it offline tomorrow.,fear and worry
"#internationaldayofpeace Want peace,prepare for war. Destroy terror states like Pakistan",fear and worry
#ivealwayswantedtosay Sorry to his wife also for moonying her...she was a lovely lady and it was a dare...she did not deserve that!,fear and worry
#Java is not working - hmph!  Can't upload photos to #Facebook.,fear and worry
"#Jazz - the #blues is the roots, the rest is the fruits",sadness
#jonaswebcast i just missed it!!!!,sadness
#justcause Summer Hours say our day ends at 1pm...doesn't mean I really get to leave at 1.,sadness
#LethalWeapon A suicidal Vet with PTSD... so FUCKING FUNNY.... let the hilarity begin...,joy and happiness
"#liesboystell Your the only one, I love (they really have several women)",sadness
#liesgirlstell  a guy calls her phone to see if the number is real ) ohh my phone isn't working . try tomorrow .,fear and worry
#LMFAO @MSNBC 's #racepimp Tamron Hall used the words 'fscts' and 'MSNBC' in the same sentence  #libtard #biasedmedia #neverHillary,joy and happiness
#LMFAO @MSNBC 's #racepimp Tamron Hall used the words 'fscts' and 'MSNBC' in the same sentence #hilarity #libtard #biasedmedia #neverHillary,joy and happiness
#Malaysian police arrest 4 people for suspected links to #terrorism including three #foreigners\n\n#Malaysia,fear and worry
#Matthew 25; 1-13\nCould somebody shoot a #video about it?\nIt could be 1 of those #horror videos but in the same time turning many 2 #Christ,fear and worry
#MeogysDailyVocabEnhancment Elation: quality or state of being elated; feeling or state of great joy or pride,joy and happiness
#mikeywayday? Count me IN,joy and happiness
"#MQM has opted to strike, May 12th - Altaf bhai to unveil what really happened in #Karachi  http://tinyurl.com/c73ehq",fear and worry
#musicmonday Epic song. (Y)  ? &quot;Lights and Sounds&quot; by Yellowcard ~ http://tinyurl.com/db7ppm,joy and happiness
"#musicmonday Happy STAR WARS Day, celebrate by joining!  http://axe-tech.net/forums/...",joy and happiness
#Muslims are the principle victims of #terrorism. More Muslims are dying at the hands of these #terrorists than anyone else. #YounusAlGohar,fear and worry
#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.,anger
#myweakness too loving ...i always let negative people into my life,sadness
#myweawkness chocolate...i can't say no,fear and worry
#nana 4 hoco bc my dream since freshman year awe 😙❤❤❤ @thecandeyman,fear and worry
#NawazSharif confesses that #Pakistan  supports #terror at #unga\n#BurhanWani,fear and worry
#NawazSharif says India poses unacceptable conditions to dialogue.#India's only condition is an end to #terrorism. :@MEAIndia,fear and worry
"#NawazSharif says lets end #terror. Sure, let #IndianArmedForces target the bases without #Pakistan interference #Karma?",fear and worry
"#Never be #afraid to #start over, it's a #new #chance to #rebuild what you want! 🔨🔩🏢",fear and worry
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,fear and worry
"#NHL Not a fan of either team, my head says Detroit, my feet say the Pens my heart doesn't care   GO KINGS in 2009/2010",joy and happiness
#nobody #understand what #advocate mean if you do then use it #right #never be #afraid so #positive word is. I can that is #POWERFUL,fear and worry
"#ntfc mourinho is worried,  bringing Ibra  and Rushford on. ",fear and worry
"#ntfc mourinho is worried,  bringing Ibra  and Rushford on.  #panic",fear and worry
#Obama #DOJ have destroyed USA!These #CharlotteProtest are acts of #terrorism dating back to #Ferguson Terrorism is how it should be treated,fear and worry
"#ObamaLegacy - weekly #riots and #terror attacks, &gt;400k dead #Syrians, #Jews fleeing #persecution in Europe, #Christian #genocide in ME.....",fear and worry
#OneSimpleChange: Drink sparkling water instead of soft drinks to steer clear of fructose while still getting a refreshing carbonation kick.,joy and happiness
#oow16 #sting decent new song,anger
#Pain is an aspect of #human evolution; the evolution of #consciousness. #attachments #desire #apathy #sentimentality #tears   #O,anger
#Pain is an aspect of #human evolution; the evolution of #consciousness. #attachments #desire #apathy #sentimentality #tears #fury #anger #O,anger
"#Pakistan is ‘terrorist state’, carries out #war crimes: #India to @UN.\n #UNGA  #UN",fear and worry
"#Pakistan is ‘terrorist state’, carries out #war crimes: #India to @UN.\n#UNGA #terrorism #UN",fear and worry
#panic Panic attack from fear of starting new medication,fear and worry
#ParentsofAddicts: let #wellness be your #revenge! -Al Anon speaker,anger
#Partners are willing to #walk alongside you without being #intimidated by you. #WhoIsIT #Part2 #RelationShift #CLifeMacon,fear and worry
"#PeaceIsPossible when both party accept one another and rejoice together after #OndoGuber,Nov26. @JciOndokingdom @cuttie_dove @Lekibeat",joy and happiness
#Peiyophobilia :) An advice from @anirudhofficial don't fear for #Devil! Sure shot✌ @iam_str voice more energetic.Xtremly foot tapping one 👌,fear and worry
"#PeopleLikeMeBecause    People are using this hashtag to brag about themselves.  I'm not interested in pleasing others, but in pleasing God.",joy and happiness
#PeopleLikeMeBecause of my razor wit &amp; sparkling personality,joy and happiness
#PeopleLikeMeBecause of some unknown reason but I try to discourage it,sadness
#PeopleLikeMeBecause of some unknown reason but I try to discourage it,fear and worry
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside.  #anxiety #anxietyprobz",sadness
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz",fear and worry
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",fear and worry
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",sadness
"#personaldevelopment\n\nToday is a gift, that's why it's called the present... #happiness #optimism #entrepreneur #personaldevelopment …",joy and happiness
"#PhpEd 5.6 running successfuly via #wine , now to get EMS running",joy and happiness
#picoftheday : How...why... Really... !!\n    #funny #picoftheday #lol #random #laugh #chair #of #despair #funnypics  #virgin #cafe #i...,fear and worry
#picoftheday : How...why... Really... !!\n    #funny #picoftheday #lol #random #laugh #chair #of #despair #funnypics  #virgin #cafe #i...,sadness
#picoftheday : How...why... Really... !!\n #funny #picoftheday #lol #random #laugh #chair #of  #funnypics #virgin #cafe #i...,fear and worry
#PiersGough on thoroughly lively and imaginative developers—“Sager have always challenged us to do better and do better.” @IslingtonSq,joy and happiness
"#Question of the #day: what are some of your #nervous #habits? (biting fingernails, tapping your foot, clenching your teeth...)",fear and worry
"#Quote 'To say that You know Yourself without ever having been #lost to find Yourself, Is like saying You know everything' ~@Caligraphy215",sadness
#quote What U #fear controls U. Fear is not out in life but in ur mind. Real difficulties can be overcome - Cheryl Janecky,fear and worry
"#Quoteoftheday\r\r'If you don't do #wild things while you're young, you'll have nothing to #smile about when you're old.'\r\r#dailyquote #quotes",joy and happiness
"#recession, #economic #gloom? The brightest #stars shine in the darkest nights! Our #html5 #webdesign rocks! #rtblitz #finovate #wlsb",sadness
"#RiceFODays now I am Alex Butler's class on financial management. Starts off with a great, relevant class discussion: movies and sunk costs",sadness
"#RIP30 Heaven is rejoicing because they've gained an angel, the Keifer family are in my prayers 💙🙏",joy and happiness
#RIPKara i could have seen her at a local mall or any school football games. im disheartened,sadness
"#rocklandcounty get to ravis in suffern, ny. Great food, new #chef, terrific atmosphere. Say 'twitter' to server and get free #appetizer",fear and worry
"#SanctuarySunday @Fredto it's our mission to make #Sanctuary a trending topic for the day, lots of people on board for it...join in",joy and happiness
"#SanctuarySunday @nirroca yay for #Sanctuary, I may watch Requiem after breakfast!",joy and happiness
"#SanctuarySunday awesome news about the Leo Awards for Sanctuary, looks like they got 4 out of the 10 they were nomintated for, not bad!",joy and happiness
#SanctuarySunday fav character @pegasusangel has to be Ashley!  Why? cause she's awesome,joy and happiness
"#savemoney and #savelifes @ your #openbar @your #weddingreception. Close it 1-2 hours early, forcing your guests to sober up before driving.",sadness
#Scorpio always seek revenge!,anger
"#Scorpio's can withdraw to a quiet place after being hurt, only to think of a plan to sting back.",anger
#SIGUEMEYTESIGO #happy #snapchat Manuellynch99 #venezuela,joy and happiness
#smackdev #ptp #start oh yeah!,fear and worry
#smackdev #ptp #start word,fear and worry
#smile #instagramers : #Selfie#BestMeSelfie#Me#Smile#BestMeCameraIsGreat#EmojiGrid#LikeforLike#Friend#Girl#Boy#Tattoos#Family#6Pack#G...,joy and happiness
#smile every morning to a positive head start with your #clients relations,joy and happiness
#smile is the #respect we give everyone.,joy and happiness
#snl...you've gotten better  keep it up,joy and happiness
#sober life,sadness
#soywax limited edition horror candles going up @scentedscreams! Follow us for all the latest news!! ,fear and worry
#soywax limited edition horror candles going up @scentedscreams! Follow us for all the latest news!! #horror,fear and worry
#Sports Top seed Johnson chases double delight at Tour Championship,joy and happiness
#start ur day wit a smile\n#buviobby,fear and worry
#Success awaits on the other side of your #fear &amp; that's only in your#head-JesusChristEmpowersRightThinking-ASK #fitness #weightlifting,fear and worry
#survivor is back! #SurvivorMillennialsVsGenX so happy to see you @JeffProbst ,joy and happiness
#survivor is back! #SurvivorMillennialsVsGenX so happy to see you @JeffProbst #happy,joy and happiness
